"=CONCATENAR( ,23) ","Quintana Roo","8,262","70","78","612","2,727","1,968","466","75","2,266"
" 23 001 ","Cozumel","355","4","5","23","138","109","29","","47"
" 23 002 ","Felipe Carrillo Puerto","400","5","1","31","160","123","33","2","45"
" 23 003 ","Isla Mujeres","86","1","6","11","20","13","5","","30"
" 23 004 ","Oth�n P. Blanco","924","5","5","102","383","253","65","3","108"
" 23 005 ","Benito Ju�rez","3,993","31","16","281","1,470","963","246","45","941"
" 23 006 ","Jos� Mar�a Morelos","197","7","8","19","97","42","7","","17"
" 23 007 ","L�zaro C�rdenas","89","","4","3","50","17","5","","10"
" 23 008 ","Solidaridad","1,564","6","8","62","175","296","45","25","947"
" 23 009 ","Tulum","232","1","10","17","98","64","12","","30"
" 23 010 ","Bacalar","283","4","13","50","90","55","6","","65"
" 23 011 ","Puerto Morelos","138","5","2","13","46","33","13","","26"
